Id;Category;Tweet
1.00E+18;c0;"RT @kaibasyugi: ghshgs based from @wrongbrodinsons tweet !!! https://t.co/d7HrbCfw9f

;;w    ;; ^this tweet made me soft i'm sorry https://…"
1.00E+18;c0;Do these rethuglicans go out of their way to look for cruel and brutal ways to abuse animals? @RepChrisStewart is a… https://t.co/7ndkMZigz2
1.00E+18;c0;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…"
1.00E+18;c0;RT @kiIIakaye: you can’t force a man to see what he’s missing out on.. at the end of the day, niggas are gonna be stuck in their ways regar…
1.00E+18;c4;RT @xty___: I don't care about an argument, I'll still be here tomorrow for you.
1.00E+18;c0;"Thank you @simonfromharlow for sharing your inspiring story to help others.
#ItsOkNotToBeOk and with help people re… https://t.co/UwhhtKBBm5"
1.00E+18;c6;I would like to show you something but no one cares 😬
1.00E+18;c0;RT @PandaFrinky: Sebenarnya, banyak kali jugak terasa hati. Tapi aku lebih suka diam daripada bagitahu. Sebab aku tahu at the end of the da…
1.00E+18;c0;RT @ensushiastic: who keeps funding this just END IT and donate all that money to mental health organizations fjdnfndhdbdb https://t.co/cnt…
1.00E+18;c3;RT @EllaDecember: “I cannot come and kill myself” is a saying to live by, honestly.
1.00E+18;c0;RT @VictorShikhman: Hi, I'm Moldovan-American. You don't know where Moldova is. No one does. I speak Russian, so people assume I'm Russian.…
1.00E+18;c5;RT @andymoz78: Brexit is dead, even the Brexiter admit so. So where are the mass protests, the civil unrest? Could it be that the threats w…
1.00E+18;c0;"RT @BigBoyler: To all the lovely folk starting their ‘Leaving Cert’ in Ireland today - Huge love &amp; luck. Worry not, this is just the end of…"
1.00E+18;c4;RT @marianaavilal: I genuinely don’t understand people who harass actors, artists, writers, etc. online because they made something they do…
1.00E+18;c0;"RT @breadnap: The storms
Broke her hope
The lightning
Burned her dreams
The darkness
Took over her joy
But she’s the rainbow
At the end of…"
1.00E+18;c0;RT @kiIIakaye: you can’t force a man to see what he’s missing out on.. at the end of the day, niggas are gonna be stuck in their ways regar…
1.00E+18;c4;RT @marianaavilal: I genuinely don’t understand people who harass actors, artists, writers, etc. online because they made something they do…
1.00E+18;c0;RT @JayyPhelps: If we tongue kiss we're having sex I don't care, I don't care..
1.00E+18;c0;"RT @LuxCat5: #thursdayvibes #goodmorning
Another #TwitterWorld #polls
I know some of us are outgoing and some just want to be alone...
I wo…"
1.00E+18;c0;Back at work and all I want to do is clock back out and go home. Looks like nothing has been done all night again 🤨
1.00E+18;c6;RT @RobotThomas: The beginning and the end were simple. It was all the shit in the middle that got complicated.
1.00E+18;c0;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…"
1.00E+18;c0;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…"
1.00E+18;c4;RT @ensushiastic: who keeps funding this just END IT and donate all that money to mental health organizations fjdnfndhdbdb https://t.co/cnt…
1.00E+18;c6;RT @naatcaat_: I graduate in 2 days n I'm lw depressed about it like now I gotta be an adult n shit wtf is this smh
1.00E+18;c0;"RT @astrosologic: Earth Signs: lmao everyone’s so fake, nobody ever asks me how I feel. No one even cares about me 

Someone: hey, are you…"
1.00E+18;c0;RT @QGotNoRings: Y'all would make women orgasm more if you actively asked them what they want, what's working, what's not and how you can d…
1.00E+18;c4;Remember them tough days where i thought i could end it all 🙏🏾
1.00E+18;c4;why do you think that no one cares about you? am i a nobody then?
1.00E+18;c4;"RT @DothTheDoth: As your goth therapist, I urge you to get lost in the woods. I don't care where you go, that's between you &amp; the woods."
1.00E+18;c0;"RT @houbieee: ""but i don't care, you can't control my shit, bullshit""

OHMYGOD I STILL LAUGHING SO HARD IEGHFJD https://t.co/PLpZmnlBwb"
1.00E+18;c0;RT @iamsrk: A hectic tiring day, has a sublime end with Messi adding to it. Have a goodnight all…
1.00E+18;c0;RT @ombretae: I generally don't think y'all care about BTS' happiness if you don't want to see them fall in love and date/marry someone. Th…
1.00E+18;c3;I'm #single and I really don't care.
1.00E+18;c3;RT @iamblackbear: someone asked me how often i want to die today
1.00E+18;c0;RT @NotBillWalton: To me, Kevin Durant is like Kim Kardashian. I don't care how successful you are right now, I will ALWAYS remember what y…
1.00E+18;c0;"RT @houbieee: ""but i don't care, you can't control my shit, bullshit""

OHMYGOD I STILL LAUGHING SO HARD IEGHFJD https://t.co/PLpZmnlBwb"
1.00E+18;c0;"Could you imagine if Judgment Day was just like an episode of Prank'd where God just strolls out at the end like, ""… https://t.co/qUU4VsKJs5"
1.00E+18;c0;RT @utdxtra: Pogba: “We’re all brothers in front of God. When you're religious, it's like we're all brothers. And at the end of the day, we…
1.00E+18;c0;🗣 https://t.co/sbpYkd6dHo
1.00E+18;c0; @MaiaMitchell @dglambert @haydenbyerly @noahcent @cierraramirez @TheDannyNucci Hi I was won… https://t.co/aS3Teh2F61
1.00E+18;c0;Must be really nice. https://t.co/0Dgdq3xVhN
1.00E+18;c4;RT @muftimenk: Make a commitment to start a new beginning when #Ramadan ends. Give up at least one bad habit in this blessed month. Do it s…
1.00E+18;c3;I just want to be able to sleep for 8 hours straight.
1.00E+18;c0;RT @_Assshleeey: All you gotta do is hold it down on yo end, and all you gone get from me is realness.
1.00E+18;c6;RT @atiqah98: I miss you, but I know you don't care.
1.00E+18;c0;"RT @kikakhj: FM -2
What? Ah, cake? I ate a cake. I had a BD party before I came. I ate a sweet poteto cake. I don't really care much about…"
1.00E+18;c3;"RT @austin_walker: there is a point while watching this video where you will say ""Okay, this is the end"" and it will be the halfway point.…"
1.00E+18;c0;RT @spierlewis: it's literally such a mistake... they don't promote the show as is. how can they expect to keep people's interest for a YEA…
1.00E+18;c3;@FLREB88 braver as in I cower in a corner rather than kill myself?
1.00E+18;c0;"RT @KanekiKen29: I don't care... ☕☕💀

DeviantArt is by Montenko ☕✌

#blackreaper #kaneki #Haise #tokyoghoulre #TokyoGhoulPics #TokyoGhoul #…"
1.00E+18;c0;RT @HUNTYCHAN: this is kind of like a metaphor for men. the water is trash, and when you put it into a taller container it looks better and…
1.00E+18;c3;"RT @sarahllfit: I can’t thank everyone enough for all of the love &amp; attention i’ve gotten lately. I never thought my discovery would end up…"
1.00E+18;c0;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…"
1.00E+18;c6;"WAIT....  Does this mean I'm @BuzzFeed Famous now?  😂😂  This is SO FLIPPING COOL!  😚💋 
Read ALL the way to the end.… https://t.co/zChfXIReSU"
1.00E+18;c4;RT @muftimenk: Make a commitment to start a new beginning when #Ramadan ends. Give up at least one bad habit in this blessed month. Do it s…
1.00E+18;c6;RT @Kmoulfa: Please don't DM me I've seen it before and I don't care https://t.co/UoQZF91meu
1.00E+18;c1;@Kellogg181 I'm not praising hatred against anyone. Just don't bother me with your bs, atheists couldn't care less what you have to say.
1.00E+18;c7;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…"
1.00E+18;c1;guys im gna kill myself rn LIKE RIGHT FKN NOW
1.00E+18;c3;RT @simonfromharlow: So... 72 hours after this photo was taken last year, I deleted Twitter, Facebook and WhatsApp, threw my phones into a…
1.00E+18;c7;RT @PandaFrinky: Sebenarnya, banyak kali jugak terasa hati. Tapi aku lebih suka diam daripada bagitahu. Sebab aku tahu at the end of the da…
1.00E+18;c4;RT @muftimenk: Make a commitment to start a new beginning when #Ramadan ends. Give up at least one bad habit in this blessed month. Do it s…
1.00E+18;c7;Nakakasakit na kayo. 😑 https://t.co/ezKiQ8XHrU
1.00E+18;c7;RT @ensushiastic: who keeps funding this just END IT and donate all that money to mental health organizations fjdnfndhdbdb https://t.co/cnt…
1.00E+18;c7;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…"
1.00E+18;c3;if i somehow end up getting diabetes or anything like that im just gonna kill myself cause fuck that shit
1.00E+18;c3;RT @blackpanjo69: I'm not selfish enough to kill myself but also not hopeful enough to want to continue living...
1.00E+18;c7;@kevin_sanchez95 Yess! I have a goal lol and I want to reach it by the end of the year
1.00E+18;c1;RT @atiqah98: I miss you, but I know you don't care.
1.00E+18;c7;They don't. But they've been lying about it for years and now the options are to either admit that lie or double do… https://t.co/SWkYITZAci
1.00E+18;c3;"RT @atinukex: Honestly in Life, all that matters are the people you share it with. Friends &amp; Family should be cherished 💗 Nothing else mean…"
1.00E+18;c2;"RT sarahrhfit: I can’t thank everyone enough for all of the love &amp; attention i’ve gotten lately. I never thought my… https://t.co/FUhWBsqtue"
1.00E+18;c7;Waoooow HAHAHAHA https://t.co/isKRx8zyqz
1.00E+18;c7;@politico Why is someone wasting their time polling how favorable Giuliani is? No one cares, you people are pathetic!
1.00E+18;c7;"RT @DavidTylerPozz: What I learnt at last night's Crouch End Labour Party meeting
1) There's no antisemitism
2)  It's all a smear
3)  I'm w…"
1.00E+18;c7;I don't particularly care about the specifics but this is true of all athletes, thespians, schalebs etc. Shut. The.… https://t.co/A2Ye2EZy00
1.00E+18;c1;lol i’m so sick of feelin like no one cares abt me here like...this is why i left
1.00E+18;c1;@See_Em_Play Kill myself in the funniest, most embarrassing way possible
1.00E+18;c7;RT @Zukolate: Apart from the Williams sisters, I don't really care about anyone on the WTA tour. Well, except to see Maria Sharapova fail d…
1.00E+18;c3;RT @iamblackbear: someone asked me how often i want to die today
1.00E+18;c7;"RT @dontbrexitfixit: Business man on Sky News has written letters but gets no response re Brexit. 

He thinks they either don't understand…"
1.00E+18;c7;RT @theamazngspidey: Y'all will watch Spider-Man: Into the Spider-Verse. Y'all will support Miles Morales our afro latino king. I don't car…
1.00E+18;c1;to die https://t.co/4gatUlqWTR
1.00E+18;c7;RT @utdxtra: Pogba: “We’re all brothers in front of God. When you're religious, it's like we're all brothers. And at the end of the day, we…
1.00E+18;c1;RT @_Robbbyy: Kinda want to get drunk, kinda want to die
1.00E+18;c7;"RT @houbieee: ""but i don't care, you can't control my shit, bullshit""

OHMYGOD I STILL LAUGHING SO HARD IEGHFJD https://t.co/PLpZmnlBwb"
1.00E+18;c3;RT @caitlinmoran: This is an amazing thread, and I suspect there are people who will read it and find it changes their lives. https://t.co/…
1.00E+18;c7;RT @PandaFrinky: Sebenarnya, banyak kali jugak terasa hati. Tapi aku lebih suka diam daripada bagitahu. Sebab aku tahu at the end of the da…
1.00E+18;c7;@karina9tails Good, now just don't vomit by the end of the night and it should all be good.
1.00E+18;c7;RT @simonfromharlow: So... 72 hours after this photo was taken last year, I deleted Twitter, Facebook and WhatsApp, threw my phones into a…
1.00E+18;c4;RT @muftimenk: Make a commitment to start a new beginning when #Ramadan ends. Give up at least one bad habit in this blessed month. Do it s…
1.00E+18;c7;RT @PandaFrinky: Sebenarnya, banyak kali jugak terasa hati. Tapi aku lebih suka diam daripada bagitahu. Sebab aku tahu at the end of the da…
1.00E+18;c3;RT @Sorrelish: @angrysigh The self care message is problematic because it’s focussed on ‘do what YOU feel you need to do’. When I’m down th…
1.00E+18;c1;ugh whatever. no one cares
1.00E+18;c7;😋 https://t.co/WdsH7S4OdS
1.00E+18;c7;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…"
1.00E+18;c1;RT @KERMlTNOW: good morning im ugly and want to die https://t.co/0udtBnJnmQ
1.00E+18;c4;RT @matthaig1: Suicide is never inevitable. Read this thread. https://t.co/zMM8mHEsuL
1.00E+18;c1;RT @atiqah98: I miss you, but I know you don't care.
1.00E+18;c7;"RT @BLM_SouthAfrica: White South Africans travel to Apartheid Israel to get self defense training from the oppressors and colonialists!

It…"
1.00E+18;c7;At the end, it’s all becoming a Modern Educayshun.
1.00E+18;c4;RT @muftimenk: Make a commitment to start a new beginning when #Ramadan ends. Give up at least one bad habit in this blessed month. Do it s…
1.00E+18;c7;"RT @pinkot9: JYP: ""What theme shall we have for this summer CB?""

NY: ""Sexy &amp; Flirty""

JY: ""Beach Activity""

MM: ""Anything but eating water…"
1.00E+18;c7;"RT @pinkot9: JYP: ""What theme shall we have for this summer CB?""

NY: ""Sexy &amp; Flirty""

JY: ""Beach Activity""

MM: ""Anything but eating water…"
1.00E+18;c7;Okay ng walang dede basta alam namin na pag minahal kami hindi dede yung nagustuhan samin HAHAHAHHAHAHAAHA https://t.co/k2koAoRIfL
1.00E+18;c3;RT @GrandShitpost: I Don't Know How To Explain To You That You Should Care About Other People And Their Feelings Even If These Issues Seem…
1.00E+18;c4;RT @MellesBellesMcr: If you are suffering from depression, anxiety, or any form of mental or emotional distress, please read this. https://…
1.00E+18;c4;GET IT DONE!  No matter what it takes, don't give up. In the end, we all win!  #Persistence #Commitment #Diligence #Excellence
1.00E+18;c7;RT @ensushiastic: who keeps funding this just END IT and donate all that money to mental health organizations fjdnfndhdbdb https://t.co/cnt…
1.00E+18;c7;RT @princexukun: no one cares but I finally managed to convince my parents to let me major/minor in music and I registered for my first cou…
1.00E+18;c7;RT @PUREEXOL2: @EXOVotingSquad @weareoneEXO I only made Twitter to vote for my kings  I really have no clue how it works but as long as I'm…
1.00E+18;c7;😂😂😂 https://t.co/V9YJlJapuf
1.00E+18;c1;I just want to sleep
1.00E+18;c1;@Sp0rtsTalkJo3 I just want it to end. Sick of watching this shitty ass team. Excited to see what new team he goes to
1.00E+18;c3;RT @GrandShitpost: I Don't Know How To Explain To You That You Should Care About Other People And Their Feelings Even If These Issues Seem…
1.00E+18;c7;"RT @houbieee: ""but i don't care, you can't control my shit, bullshit""

OHMYGOD I STILL LAUGHING SO HARD IEGHFJD https://t.co/PLpZmnlBwb"
1.00E+18;c7;RT @Morris5R: So basically, the PMs position is to remain, as we have always known, but with a backstop of remain. Ah! all clear. https://t…
1.00E+18;c5;I swear my brother is the only reason I remain to play football... after his death it made me want it more and real… https://t.co/OA1aNONRfS
1.00E+18;c7;"RT @Friendly_bini: #KYYOnVoot
This is not the end we r gonna take for us it's just a seasonal break 😌

We'll again comeback for a season to…"
1.00E+18;c3;RT @HUNTYCHAN: this is kind of like a metaphor for men. the water is trash, and when you put it into a taller container it looks better and…
1.00E+18;c7;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…"
1.00E+18;c3;RT @EllaDecember: “I cannot come and kill myself” is a saying to live by, honestly.
1.00E+18;c7;RT @jasonomahony: Why don’t they get it? This is what the EU is for, to get best deal for its members regardless of cost to non members. ht…
1.00E+18;c7;RT @PandaFrinky: Sebenarnya, banyak kali jugak terasa hati. Tapi aku lebih suka diam daripada bagitahu. Sebab aku tahu at the end of the da…
1.00E+18;c2;RT @kristaljwilkins: @THR I’m curious why this series tackles rape and suicide like it’s a walk in the park but pumps the brakes at school…
1.00E+18;c7;"RT @houbieee: ""but i don't care, you can't control my shit, bullshit""

OHMYGOD I STILL LAUGHING SO HARD IEGHFJD https://t.co/PLpZmnlBwb"
1.00E+18;c7;RT @QGotNoRings: Y'all would make women orgasm more if you actively asked them what they want, what's working, what's not and how you can d…
1.00E+18;c7;I’m Single But I Got A Boyfriend 😝 https://t.co/95IGGYumNj
1.00E+18;c7;RT @Retributions: The Delhi based media which is the most compromised —-with honorable exceptions—faces very little threats from the govern…
1.00E+18;c7;Oo nga, respeto. Masarap kaya magkaroon ng kaibigang flat. Para may pader kang masasandalan kapag may problema ka. https://t.co/KMGR1WXG0d
1.00E+18;c7;RT @PandaFrinky: Sebenarnya, banyak kali jugak terasa hati. Tapi aku lebih suka diam daripada bagitahu. Sebab aku tahu at the end of the da…
1.00E+18;c1;allergies are fucking killing me i want to die
1.00E+18;c7;@regal_cornet @propetenshi come on! you want me to go out for laps now? it’s dark and no one else is training! I pr… https://t.co/JFsN76EMlU
1.00E+18;c4;RT @xty___: I don't care about an argument, I'll still be here tomorrow for you.
1.00E+18;c1;@IAsonye @NwaanyiOwerre I like you my friend....It’s all love from this end 🙏🙏
1.00E+18;c7;RT @PandaFrinky: Sebenarnya, banyak kali jugak terasa hati. Tapi aku lebih suka diam daripada bagitahu. Sebab aku tahu at the end of the da…
1.00E+18;c1;sometimes i just want to disappear and let the world miss me
1.00E+18;c3;RT @HUNTYCHAN: this is kind of like a metaphor for men. the water is trash, and when you put it into a taller container it looks better and…
1.00E+18;c3;RT @kiIIakaye: you can’t force a man to see what he’s missing out on.. at the end of the day, niggas are gonna be stuck in their ways regar…
1.00E+18;c7;RT @ForBae0: عادي جدا انتظرك بالساعات واذا جيت اسوي اني I don't care بس انا I care مره.
1.00E+18;c1;I’m so sleepy. I want to go home
1.00E+18;c7;"RT @DavidTylerPozz: What I learnt at last night's Crouch End Labour Party meeting
1) There's no antisemitism
2)  It's all a smear
3)  I'm w…"
1.00E+18;c7;That’s boring as fuck bitch go watch a vlive https://t.co/qUdpm9bXCQ
1.00E+18;c7;@ndanger1234 @jhager79 @JulieSLalonde nah, I just don't have any need to interact with garbage people on here, so I… https://t.co/ZGuFECN50e
1.00E+18;c1;When I die I want to come to a place exactly… unlike this. #bot
1.00E+18;c1;RT @atiqah98: I miss you, but I know you don't care.
1.00E+18;c3;RT @kiIIakaye: you can’t force a man to see what he’s missing out on.. at the end of the day, niggas are gonna be stuck in their ways regar…
1.00E+18;c7;Daisy has decided now is the prime time to do parkour and I really just want to sleep
1.00E+18;c4;Read this. Things get better. https://t.co/Zkm5NlTBY7
1.00E+18;c3;"Ddffhg I just remembered I have to go out for dinner tonight 
I'm tired(TM) and want to lazy surf"
1.00E+18;c7;RT @NotBillWalton: To me, Kevin Durant is like Kim Kardashian. I don't care how successful you are right now, I will ALWAYS remember what y…
1.00E+18;c7;RT @NotBillWalton: To me, Kevin Durant is like Kim Kardashian. I don't care how successful you are right now, I will ALWAYS remember what y…
1.00E+18;c3;"an expression that i will never be able to take seriously is ""giving bedroom eyes"" i just imagine someone who is sl… https://t.co/iy0dcGY4YV"
1.00E+18;c3;RT @kiIIakaye: you can’t force a man to see what he’s missing out on.. at the end of the day, niggas are gonna be stuck in their ways regar…
1.00E+18;c7;i just want a full 8 hours of sleep... is that so hard to ask for??
1.00E+18;c3;RT @simonfromharlow: So... 72 hours after this photo was taken last year, I deleted Twitter, Facebook and WhatsApp, threw my phones into a…
1.00E+18;c7;"Nowadays ""cool"" means ""i really don't care"" ""sick"" means ""awesome"" and ""i love you"" doesn't mean anything. #TeamFollowBack"
1.00E+18;c7;Dear #Snapchat, I don't care what I look like as a puppy. Just give me a filter that makes me look like I showered.… https://t.co/9yl2qXwM5g
1.00E+18;c3;RT @kiIIakaye: you can’t force a man to see what he’s missing out on.. at the end of the day, niggas are gonna be stuck in their ways regar…
1.00E+18;c7;RT @NotBillWalton: To me, Kevin Durant is like Kim Kardashian. I don't care how successful you are right now, I will ALWAYS remember what y…
1.00E+18;c1;Tell me something cute because I'm depressed rn :( https://t.co/G6Wn79Bnu4
1.00E+18;c7;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…"
1.00E+18;c7;"RT @santiagos58: Hey D*ckhead!
STFU no one who matters cares what you say 
Go away!

TRUMP 2020
America First 🇺🇸 Mother F*cker👊🇺🇸 https://t…"
1.00E+18;c3;RT @iamblackbear: someone asked me how often i want to die today
1.00E+18;c7;RT @GuitarMoog: Leavers (who won, remember) in the Cabinet appear to be having hissy fits that UKGov is going to make a proposal they don't…
1.00E+18;c7;"yes, gender roles are a social construct, &amp; i don't agree w many of them, but my mother raised me, that as a man, i… https://t.co/im6Kw3SJlJ"
1.00E+18;c7;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…"
1.00E+18;c3;I just want to go to sleep earlier than 3am ughhh
1.00E+18;c7;RT @marianaavilal: I genuinely don’t understand people who harass actors, artists, writers, etc. online because they made something they do…
1.00E+18;c7;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…"
1.00E+18;c7;I don't care what you have to say but the suit Harry wore in Dallas was everything
1.00E+18;c3;RT @iamblackbear: someone asked me how often i want to die today
1.00E+18;c1;Sometimes I think I tweet too much and then again I don't really care
1.00E+18;c3;RT @kiIIakaye: you can’t force a man to see what he’s missing out on.. at the end of the day, niggas are gonna be stuck in their ways regar…
1.00E+18;c7;@romeodude111 @Drewbie1985 I follow my favorite model's i don't care what studio they work for its the model's im here to support and see
1.00E+18;c1;RT @C12H22O11_Tits: I just want to be done with you
1.00E+18;c1;@raspipop I don't care I'm just like https://t.co/U6n8sicGtU
1.00E+18;c7;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…"
1.00E+18;c7;RT @PandaFrinky: Sebenarnya, banyak kali jugak terasa hati. Tapi aku lebih suka diam daripada bagitahu. Sebab aku tahu at the end of the da…
1.00E+18;c7;RT @ensushiastic: who keeps funding this just END IT and donate all that money to mental health organizations fjdnfndhdbdb https://t.co/cnt…
1.00E+18;c3;RT @NoChillMzansi: I should have uploaded this video a month ago cause now so many peeps have uploaded it but anyway I don't care tbh😂😂😂 ht…
1.00E+18;c7;"@GayGarbageCan Weight lifting would burn them.
I used to do weightlifting. I was never as thin as you, but it helpe… https://t.co/Kxnltld1ze"
1.00E+18;c4;"I can’t thank everyone enough for all of the love &amp; attention i’ve gotten lately. I never thought my discovery woul… https://t.co/MRpZsrvJ5Y"
1.00E+18;c3;@goldfishjiminie @scopicbts Truthfully I don't care about them I stan BTS 💜💜
1.00E+18;c4;"I can’t thank everyone enough for all of the love &amp; attention i’ve gotten lately. I never thought my discovery woul… https://t.co/Pn2BRBRoy1"
1.00E+18;c4;RT @JordanSweeto: The suicide hotline has people who are trained and know how to help suicidal people and they are always there to listen/t…
1.00E+18;c1;I'll suck Beck dry bitch I really don't care
1.00E+18;c7;RT @devilscompiler: I don't think most ppl in crypto care about decentralization. Many projects are doing the bare minimum or subverting it…
1.00E+18;c4;RT @muftimenk: Make a commitment to start a new beginning when #Ramadan ends. Give up at least one bad habit in this blessed month. Do it s…
1.00E+18;c7;"RT @DothTheDoth: As your goth therapist, I urge you to get lost in the woods. I don't care where you go, that's between you &amp; the woods."
1.00E+18;c1;A plan to kill myself 💜💜💜
1.00E+18;c1;ras i'm so sad because of swing.. we only have a few months left with the boys and now their stupid company decide… https://t.co/C93Q8eDUEd
1.00E+18;c7;@NanoNago Good catch!  That has actually been a bug on all platforms since launch!  I have fixed it on our end, it'll be in a future patch.
1.00E+18;c7;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…"
1.00E+18;c7;RT @PandaFrinky: Sebenarnya, banyak kali jugak terasa hati. Tapi aku lebih suka diam daripada bagitahu. Sebab aku tahu at the end of the da…
1.00E+18;c3;RT @iamblackbear: someone asked me how often i want to die today
1.00E+18;c4;RT @muftimenk: In the blink of an eye, we’re already in the last ten nights of #Ramadan. Thank the Almighty for them. May He grant us choic…
